province,party_code,party_name,party_scope,comparable_to_dpr,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,dpr_total_votes,dpr_vote_share,dprd_minus_dpr_vote_share,dprd_minus_dpr_seat_share
Jawa Barat,PSI,Partai Solidaritas Indonesia,national,true,1,0.008333,0,0.000000,744452,0.028315,-0.019982,0.008333
Jawa Barat,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,273661,0.010409,-0.010409,0.000000
Jawa Barat,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,60915,0.002317,-0.002317,0.000000
Jawa Barat,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,220788,0.008398,-0.008398,0.000000
Jawa Barat,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,107768,0.004099,-0.004099,0.000000
Jawa Barat,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,89013,0.003386,-0.003386,0.000000
Jawa Barat,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,40482,0.001540,-0.001540,0.000000
Jawa Barat,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,239510,0.009110,-0.009110,0.000000
Jawa Barat,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,108348,0.004121,-0.004121,0.000000
Jawa Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,33,0.275000,23,0.298701,5846493,0.279136,-0.004136,-0.023701
Jawa Tengah,PKB,Partai Kebangkitan Bangsa,national,true,20,0.166667,10,0.129870,2672345,0.127589,0.039078,0.036797
Jawa Tengah,Gerindra,Partai Gerakan Indonesia Raya,national,true,17,0.141667,10,0.129870,2279011,0.108810,0.032857,0.011797
Jawa Tengah,Golkar,Partai Golongan Karya,national,true,17,0.141667,12,0.155844,2648583,0.126454,0.015212,-0.014177
Jawa Tengah,PKS,Partai Keadilan Sejahtera,national,true,11,0.091667,7,0.090909,1492537,0.071260,0.020407,0.000758
Jawa Tengah,Demokrat,Partai Demokrat,national,true,7,0.058333,5,0.064935,1372784,0.065542,-0.007209,-0.006602
Jawa Tengah,PPP,Partai Persatuan Pembangunan,national,true,6,0.050000,0,0.000000,874749,0.041764,0.008236,0.050000
Jawa Tengah,PAN,Partai Amanat Nasional,national,true,4,0.033333,3,0.038961,1137194,0.054294,-0.020961,-0.005628
Jawa Tengah,NasDem,Partai NasDem,national,true,3,0.025000,7,0.090909,1321849,0.063111,-0.038111,-0.065909
Jawa Tengah,PSI,Partai Solidaritas Indonesia,national,true,2,0.016667,0,0.000000,580751,0.027727,-0.011061,0.016667
Jawa Tengah,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,86023,0.004107,-0.004107,0.000000
Jawa Tengah,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,41317,0.001973,-0.001973,0.000000
