province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Jawa Tengah,PDA,PDA,0,0,,false
Jawa Tengah,PA,PA,0,0,,false
Jawa Tengah,PASA,PASA,0,0,,false
Jawa Tengah,SIRA,SIRA,0,0,,false
Jawa Tengah,Ummat,Partai Ummat,0,0,,false
Daerah Istimewa Yogyakarta,PKB,Partai Kebangkitan Bangsa,6,27,4.500000,true
Daerah Istimewa Yogyakarta,Gerindra,Partai Gerakan Indonesia Raya,8,28,3.500000,true
Daerah Istimewa Yogyakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,19,57,3.000000,true
Daerah Istimewa Yogyakarta,Golkar,Partai Golongan Karya,6,28,4.666667,true
Daerah Istimewa Yogyakarta,NasDem,Partai NasDem,2,16,8.000000,true
Daerah Istimewa Yogyakarta,Buruh,Partai Buruh,0,0,,false
Daerah Istimewa Yogyakarta,Gelora,Partai Gelombang Rakyat Indonesia,0,0,,false
Daerah Istimewa Yogyakarta,PKS,Partai Keadilan Sejahtera,7,27,3.857143,true
Daerah Istimewa Yogyakarta,PKN,Partai Kebangkitan Nusantara,0,0,,false
Daerah Istimewa Yogyakarta,Hanura,Partai Hati Nurani Rakyat,0,0,,false
Daerah Istimewa Yogyakarta,Garuda,Partai Garda Republik Indonesia,0,0,,false
Daerah Istimewa Yogyakarta,PAN,Partai Amanat Nasional,5,20,4.000000,true
Daerah Istimewa Yogyakarta,PBB,Partai Bulan Bintang,0,0,,false
Daerah Istimewa Yogyakarta,Demokrat,Partai Demokrat,0,5,,false
Daerah Istimewa Yogyakarta,PSI,Partai Solidaritas Indonesia,1,0,0.000000,true
Daerah Istimewa Yogyakarta,Perindo,Partai Perindo,0,0,,false
Daerah Istimewa Yogyakarta,PPP,Partai Persatuan Pembangunan,1,11,11.000000,true
Daerah Istimewa Yogyakarta,PNA,PNA,0,0,,false
Daerah Istimewa Yogyakarta,Gabthat,Gabthat,0,0,,false
Daerah Istimewa Yogyakarta,PDA,PDA,0,0,,false
Daerah Istimewa Yogyakarta,PA,PA,0,0,,false
Daerah Istimewa Yogyakarta,PASA,PASA,0,0,,false
Daerah Istimewa Yogyakarta,SIRA,SIRA,0,0,,false
Daerah Istimewa Yogyakarta,Ummat,Partai Ummat,0,1,,false
Jawa Timur,PKB,Partai Kebangkitan Bangsa,27,337,12.481481,true
Jawa Timur,Gerindra,Partai Gerakan Indonesia Raya,21,218,10.380952,true
Jawa Timur,PDIP,Partai Demokrasi Indonesia Perjuangan,21,307,14.619048,true
Jawa Timur,Golkar,Partai Golongan Karya,15,215,14.333333,true
