province,province_raw,party_code,party_name,kabkot_seats
Nusa Tenggara Timur,East Nusa Tenggara,Golkar,Partai Golongan Karya,80
Nusa Tenggara Timur,East Nusa Tenggara,NasDem,Partai NasDem,87
Nusa Tenggara Timur,East Nusa Tenggara,Buruh,Partai Buruh,0
Nusa Tenggara Timur,East Nusa Tenggara,Gelora,Partai Gelombang Rakyat Indonesia,4
Nusa Tenggara Timur,East Nusa Tenggara,PKS,Partai Keadilan Sejahtera,14
Nusa Tenggara Timur,East Nusa Tenggara,PKN,Partai Kebangkitan Nusantara,1
Nusa Tenggara Timur,East Nusa Tenggara,Hanura,Partai Hati Nurani Rakyat,45
Nusa Tenggara Timur,East Nusa Tenggara,Garuda,Partai Garda Republik Indonesia,2
Nusa Tenggara Timur,East Nusa Tenggara,PAN,Partai Amanat Nasional,48
Nusa Tenggara Timur,East Nusa Tenggara,PBB,Partai Bulan Bintang,3
Nusa Tenggara Timur,East Nusa Tenggara,Demokrat,Partai Demokrat,58
Nusa Tenggara Timur,East Nusa Tenggara,PSI,Partai Solidaritas Indonesia,28
Nusa Tenggara Timur,East Nusa Tenggara,Perindo,Partai Perindo,45
Nusa Tenggara Timur,East Nusa Tenggara,PPP,Partai Persatuan Pembangunan,4
